Bank;Branch;Sub-Branch
Garanti;Personal Banking;Personal Banking Marketing
Garanti;Personal Banking;Mass Banking Marketing
Garanti;Personal Banking;Private Banking Marketing
Garanti;SME Banking;Middle-Large Business SME
Garanti;SME Banking;Small Business Banking
Garanti;Commercial Banking;Commercial Banking İstanbul Marketing
Garanti;Commercial Banking;Commercial Banking Anatolia Marketing
Garanti;Commercial Banking;Consumer Financing
Garanti;Corporate and Investment Banking;Corporate Banking
Garanti;Corporate and Investment Banking;Global Markets
Garanti;Corporate and Investment Banking;Cash Management and Operation Banking
Garanti;Corporate and Investment Banking;Financial Institutions
Garanti;Corporate and Investment Banking;Project Financing
Garanti;Corporate and Investment Banking;Corporate Banking Strategy Analysis and Coordination
Garanti;HR and Support Services;HR
Garanti;HR and Support Services;Training
Garanti;HR and Support Services;Construction 
Garanti;HR and Support Services;Procurement
Garanti;HR and Support Services;Corporate Safety
Garanti;Customer Solutions and Digital Banking;Digital Banking
Garanti;Customer Solutions and Digital Banking;Legal Digital Banking
Garanti;Customer Solutions and Digital Banking;Corporate Brand Management and Marketing Communicaitons
Garanti;Customer Solutions and Digital Banking;Customer Experience
Garanti;Customer Solutions and Digital Banking;Insurance and Retirement
Garanti;Customer Solutions and Digital Banking;Customer Analytics, Inovation and Product Development
Garanti;Engineering Services and Data;Organization and Process Development
Garanti;Engineering Services and Data;Safe Operations
Garanti;Engineering Services and Data;Technology Center
Garanti;Engineering Services and Data;Data and Business Analytics
Garanti;Treasury;Active/Passive Management
Garanti;Compliance and Internal Control;Financial Planning and Analysis
Garanti;Compliance and Internal Control;Expense Management and Productivity
Garanti;Treasury;Investor Relations
Garanti;Compliance and Internal Control;Financial Reporting and Accounting
Garanti;Treasury;International Accounting
Garanti;Compliance and Internal Control;Tax Procuderes Management
Garanti;Compliance and Internal Control;BBVA Finance Coordination
Garanti;Treasury;Credit Card, Member Business Coordination
Garanti;Law Services and Collection;Law Concultancy Services
Garanti;Law Services and Collection;Litigation Services
Garanti;Law Services and Collection;Case Services
Garanti;Law Services and Collection;Law Operations Services
Garanti;Law Services and Collection;Personal Products Collection
Garanti;Law Services and Collection;Commercial Products Collection
Garanti;Credit Risk Management;Corporate and Special Credits
Garanti;Credit Risk Management;Commercial Credits
Garanti;Credit Risk Management;Bank and Country Risk
Garanti;Credit Risk Management;Personal Credit Risk Strategy
Garanti;Credit Risk Management;SME Credit Risk Strategy
